ffc_band,yearmonth(bca),Total
> 80,2016 Nov,0
> 80,2016 Dec,0
> 80,2017 Jan,0
> 80,2017 Feb,0
> 80,2017 Mar,0
> 80,2017 Apr,0
> 80,2017 May,0
> 80,2017 Jun,0
> 80,2017 Jul,0
> 80,2017 Aug,0
> 80,2017 Sep,0
> 80,2017 Oct,0
> 80,2017 Nov,0
> 80,2017 Dec,0
> 80,2018 Jan,0
> 80,2018 Feb,0
> 80,2018 Mar,0
> 80,2018 Apr,0
> 80,2018 May,0
> 80,2018 Jun,0
> 80,2018 Jul,0
> 80,2018 Aug,0
> 80,2018 Sep,0
> 80,2018 Oct,0
> 80,2018 Nov,0
> 80,2018 Dec,0
> 80,2019 Jan,0
> 80,2019 Feb,0
> 80,2019 Mar,0
> 80,2019 Apr,0
> 80,2019 May,0
> 80,2019 Jun,0
> 80,2019 Jul,0
> 80,2019 Aug,0
> 80,2019 Sep,0
> 80,2019 Oct,0
> 80,2019 Nov,0
> 80,2019 Dec,0
> 80,2020 Jan,0
> 80,2020 Feb,0
> 80,2020 Mar,0
> 80,2020 Apr,0
> 80,2020 May,0
> 80,2020 Jun,0
> 80,2020 Jul,0
> 80,2020 Aug,0
> 80,2020 Sep,0
> 80,2020 Oct,0
> 80,2020 Nov,0
> 80,2020 Dec,0
> 80,2021 Jan,0
> 80,2021 Feb,0
> 80,2021 Mar,0
> 80,2021 Apr,0
> 80,2021 May,0
> 80,2021 Jun,0
> 80,2021 Jul,1
> 80,2021 Aug,0
> 80,2021 Sep,0
> 80,2021 Oct,0
> 80,2021 Nov,0
> 80,2021 Dec,0
> 80,2022 Jan,0
> 80,2022 Feb,1
> 80,2022 Mar,0
> 80,2022 Apr,0
> 80,2022 May,0
> 80,2022 Jun,0
> 80,2022 Jul,1
> 80,2022 Aug,0
> 80,2022 Sep,0
> 80,2022 Oct,0
> 80,2022 Nov,0
> 80,2022 Dec,0
> 80,2023 Jan,0
> 80,2023 Feb,0
> 80,2023 Mar,0
> 80,2023 Apr,0
> 80,2023 May,0
> 80,2023 Jun,1
> 80,2023 Jul,1
> 80,2023 Aug,0
> 80,2023 Sep,0
> 80,2023 Oct,0
> 80,2023 Nov,0
> 80,2023 Dec,0
> 80,2024 Jan,0
> 80,2024 Feb,0
> 80,2024 Mar,0
> 80,2024 Apr,0
> 80,2024 May,0
> 80,2024 Jun,0
> 80,2024 Jul,0
> 80,2024 Aug,0
> 80,2024 Sep,0
> 80,2024 Oct,0
> 80,2024 Nov,0
> 80,2024 Dec,0
> 80,2025 Jan,0
> 80,2025 Feb,0
> 80,2025 Mar,0
> 80,2025 Apr,0
> 80,2025 May,0
> 80,2025 Jun,1
> 80,2025 Jul,0
> 80,2025 Aug,0
> 80,2025 Sep,0
> 80,2025 Oct,0
> 80,2025 Nov,0
> 80,2025 Dec,0
> 80,2026 Jan,0
> 80,2026 Feb,0
> 80,2026 Mar,0
> 80,2026 Apr,0
> 80,2026 May,0
> 80,2026 Jun,0
> 80,2026 Jul,0
> 80,2026 Aug,0
